Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
"Gấu Bông Capybara Tốt Nghiệp","Nếu bạn đang tìm một món quà tốt nghiệp vừa độc đáo, vừa hài hước thì gấu Tốt Nghiệp chính là lựa chọn hoàn hảo. Với khuôn mặt “điềm tĩnh vô tri” kết hợp áo choàng, mũ cử nhân và băng Congratulations, chú gấu mang lại cảm giác vừa trang trọng vừa buồn cười khó cưỡng. Chất liệu bông gòn 7D trắng muốt cùng vải miniso mềm mịn giúp ôm cực thích, không lo rụng lông hay phai màu. Đây không chỉ là món quà dễ thương mà còn gửi gắm thông điệp ý nghĩa: tốt nghiệp xong rồi, hãy cứ thong dong và yêu đời như “chiến thần chuột nước”.

📏 Gấu có đủ 2 size để bạn lựa chọn: 20cm nhỏ gọn xinh xắn, 35cm vừa vặn để ôm và giá hợp lý.",Gradie,Gấu Bông,,TRUE,Hình dáng,Capybara,Kích thước,35cm,Chất liệu,Bông gòn 7D, vải miniso,SP001-1,0,shopify,100,deny,manual,115000,145000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp001_1.jpg,1,Gấu Bông Capybara Tốt Nghiệp,FALSE,,,active
,,,,,TRUE,Hình dáng,Capybara,Kích thước,20cm,Chất liệu,Bông gòn 7D, vải miniso,SP001-2,0,shopify,100,deny,manual,135000,165000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp001_2.jpg,,,FALSE,,,active
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp001_2.jpg,2,,,,,
"Gấu Bông Tốt Nghiệp Gradie","Gấu bông tốt nghiệp là món quà ý nghĩa dành cho sinh viên, ghi dấu khoảnh khắc quan trọng trong cuộc đời. Với kích thước 20cm khi ngồi (18cm), chú gấu nhỏ nhắn, dễ thương, khoác áo choàng và đội mũ cử nhân, mang thông điệp chúc mừng trang trọng nhưng vẫn đáng yêu. Sản phẩm được làm từ bông gòn nhân tạo 3 chiều, mềm mại, an toàn tuyệt đối, ôm cực thích. Khi mua tại Gradie, bạn sẽ được tặng kèm giấy gói quà sang trọng và bảo hành đường chỉ may trọn đời, đảm bảo chất lượng lâu dài. Đây chính là món quà tinh tế, vừa lưu giữ kỷ niệm tốt nghiệp, vừa mang lại niềm vui cho người nhận.",Gradie,Gấu Bông,,TRUE,Hình dáng,Có kính, không in,Kích thước,20cm khi ngồi 18cm,Chất liệu,Bông gòn nhân tạo 3 chiều,SP002-1,0,shopify,100,deny,manual,65000,75000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp002_1.jpg,1,Gấu Bông Tốt Nghiệp Gradie,FALSE,,,active
,,,,,TRUE,Hình dáng,Có kính, in tên,Kích thước,20cm khi ngồi 18cm,Chất liệu,Bông gòn nhân tạo 3 chiều,SP002-2,0,shopify,100,deny,manual,80000,90000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp002_2.jpg,,,FALSE,,,active
,,,,,TRUE,Hình dáng,Không kính, không in,Kích thước,20cm khi ngồi 18cm,Chất liệu,Bông gòn nhân tạo 3 chiều,SP002-3,0,shopify,100,deny,manual,60000,65000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp002_3.jpg,,,FALSE,,,active
,,,,,TRUE,Hình dáng,Không kính, in tên,Kích thước,20cm khi ngồi 18cm,Chất liệu,Bông gòn nhân tạo 3 chiều,SP002-4,0,shopify,100,deny,manual,70000,80000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp002_4.jpg,,,FALSE,,,active
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp002_2.jpg,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp002_3.jpg,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp002_4.jpg,4,,,,,
"Búp Bê Móc Len Tốt Nghiệp","Gấu bông tốt nghiệp với chiều cao 20–23cm là món quà thủ công 100% đầy ý nghĩa, ghi dấu khoảnh khắc quan trọng trong đời sinh viên. Ngoài kích thước tiêu chuẩn, shop còn nhận làm size lớn hoặc theo mẫu riêng, khách chỉ cần inbox để đặt. Sản phẩm chưa bao gồm trang trí hộp mica, hoa hay các kiểu hộp khác. Do đặc thù len thủ công, màu sắc có thể chênh lệch nhẹ giữa các lô, tạo nên sự độc đáo riêng cho từng sản phẩm",Gradie,Gấu bông,,TRUE,Hình dáng,Nữ, có đế,Kích thước,23cm,Chất liệu,Len,SP003-1,0,shopify,100,deny,manual,419000,429000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp003_1.jpg,1,Búp Bê Móc Len Tốt Nghiệp,FALSE,,,active
,,,,,TRUE,Hình dáng,Nữ, không đế,Kích thước,20cm,Chất liệu,Len,SP003-2,0,shopify,100,deny,manual,399000,409000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp003_2.jpg,,,FALSE,,,active
,,,,,TRUE,Hình dáng,Nam, có đế,Kích thước,23cm,Chất liệu,Len,SP003-3,0,shopify,100,deny,manual,419000,429000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp003_3.jpg,,,FALSE,,,active
,,,,,TRUE,Hình dáng,Nam, không đế,Kích thước,20cm,Chất liệu,Len,SP003-4,0,shopify,100,deny,manual,399000,409000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp003_4.jpg,,,FALSE,,,active
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp003_2.jpg,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp003_3.jpg,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp003_4.jpg,4,,,,,
"Bó Hoa Móc Len Hướng Dương","Bó hoa len handmade được làm hoàn toàn thủ công, mang vẻ đẹp độc đáo và ý nghĩa, rất phù hợp làm quà tặng tốt nghiệp. Sản phẩm có chiều cao 50cm, gồm 1 chú gấu nhỏ đáng yêu kết hợp cùng 5 bông hướng dương rực rỡ, tạo nên tổng thể vừa trang trọng vừa tươi vui. ",Gradie,Hoa mừng,,TRUE,Hình dáng,Bó hoa,Kích thước,50cm,Chất liệu,Len,SP004-1,0,shopify,100,deny,manual,149000,159000,TRUE,TRUE,,https://cdn.hstatic.net/files/200001178391/file/sp004_1.jpg,1,Bó Hoa Móc Len Hướng Dương,FALSE,,,active
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp004_2.jpg,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,https://cdn.hstatic.net/files/200001178391/file/sp004_3.jpg,3,,,,,
